question_id,subgraph_type,template_id,template_structure
26269,center,1.1,E REF ?F
9578,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
329,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
29662,center,1.1,E REF ?F
12174,right-subgraph,1,E REF ?F . ?F RFG G
9411,statement_property,statement_property_2,(E pred F) prop ?value
30122,simple question right,1,<S P ?O ; ?O instanceOf Type>
12314,right-subgraph,1,E REF ?F . ?F RFG G
13084,right-subgraph,1,E REF ?F . ?F RFG G
17791,left-subgraph,5,C RCD xD . xD RDE ?E
13228,right-subgraph,1,E REF ?F . ?F RFG G
11329,,3,
449,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
28057,center,1.2,?D RDE E
27358,center,1.1,E REF ?F
8902,statement_property,statement_property_1,(E pred ?Obj ) prop value
5200,statement_property,statement_property_1,(E pred ?Obj ) prop value
29323,center,1.1,E REF ?F
10102,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
18283,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
20657,simple question left,2,<?S P O ; ?S InstanceOf Type>
10047,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
24324,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
8553,statement_property,statement_property_1,(E pred ?Obj ) prop value
18996,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
28246,center,1.1,E REF ?F
10089,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
25081,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
25839,center,1.1,E REF ?F
11049,,3,
25836,center,1.1,E REF ?F
25317,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
25473,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
21259,simple question right,1,<S P ?O ; ?O instanceOf Type>
27786,center,1.1,E REF ?F
7003,statement_property,statement_property_1,(E pred ?Obj ) prop value
4955,statement_property,statement_property_1,(E pred ?Obj ) prop value
7776,statement_property,statement_property_2,(E pred F) prop ?value
10426,,2,
8761,statement_property,statement_property_1,(E pred ?Obj ) prop value
13756,right-subgraph,1,E REF ?F . ?F RFG G
18527,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
23866,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
40,boolean one_hop right subgraph,1,Ask (ent-pred-obj`)
16395,right-subgraph,2,E REF xF . xF RFG ?G
27911,center,1.1,E REF ?F
24276,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
29943,simple question right,1,<S P ?O ; ?O instanceOf Type>
2263,statement_property,Count_2,Count ent (ent-pred-obj)
21621,simple question right,1,<S P ?O ; ?O instanceOf Type>
12781,right-subgraph,1,E REF ?F . ?F RFG G
12467,right-subgraph,1,E REF ?F . ?F RFG G
26731,center,1.1,E REF ?F
20431,simple question right,1,<S P ?O ; ?O instanceOf Type>
4330,statement_property,statement_property_2,(E pred F) prop ?value
23064,simple question right,1,<S P ?O ; ?O instanceOf Type>
10974,,2,
9905,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
20612,simple question left,2,<?S P O ; ?S InstanceOf Type>
23777,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
8625,statement_property,statement_property_1,(E pred ?Obj ) prop value
20958,simple question left,2,<?S P O ; ?S InstanceOf Type>
16052,right-subgraph,2,E REF xF . xF RFG ?G
15867,left-subgraph,5,C RCD xD . xD RDE ?E
7346,statement_property,statement_property_2,(E pred F) prop ?value
7439,statement_property,statement_property_2,(E pred F) prop ?value
689,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1` . ent-pred-obj2)
9923,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
29336,center,1.1,E REF ?F
26,boolean one_hop right subgraph,1,Ask (ent-pred-obj`)
21156,simple question left,2,<?S P O ; ?S InstanceOf Type>
5674,statement_property,statement_property_2,(E pred F) prop ?value
20056,simple question left,2,<?S P O ; ?S InstanceOf Type>
18216,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
3216,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value)
19294,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
5060,statement_property,statement_property_2,(E pred F) prop ?value
25973,center,1.1,E REF ?F
1406,statement_property,Count_1,Count Obj (ent-pred-obj)
18010,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
15813,right-subgraph,2,E REF xF . xF RFG ?G
16007,left-subgraph,5,C RCD xD . xD RDE ?E
29245,center,1.2,?D RDE E
25576,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
9303,statement_property,statement_property_1,(E pred ?Obj ) prop value
25290,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
810,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2`)
23737,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
25550,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
23665,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
12678,right-subgraph,1,E REF ?F . ?F RFG G
343,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
19105,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
16396,left-subgraph,5,C RCD xD . xD RDE ?E
23610,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
4058,statement_property,statement_property_2,(E pred F) prop ?value
24008,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
6218,statement_property,statement_property_2,(E pred F) prop ?value
5454,statement_property,statement_property_1,(E pred ?Obj ) prop value
12802,right-subgraph,1,E REF ?F . ?F RFG G
13613,right-subgraph,1,E REF ?F . ?F RFG G
2546,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
2442,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
5712,statement_property,statement_property_2,(E pred F) prop ?value
18450,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
1334,statement_property,Count_1,Count Obj (ent-pred-obj)
16753,left-subgraph,5,C RCD xD . xD RDE ?E
10424,,2,
4354,statement_property,statement_property_2,(E pred F) prop ?value
14268,left-subgraph,5,C RCD xD . xD RDE ?E
15624,right-subgraph,2,E REF xF . xF RFG ?G
17624,right-subgraph,2,E REF xF . xF RFG ?G
7456,statement_property,statement_property_2,(E pred F) prop ?value
26038,center,1.1,E REF ?F
27361,center,1.1,E REF ?F
7865,statement_property,statement_property_2,(E pred F) prop ?value
29293,center,1.1,E REF ?F
4672,statement_property,statement_property_1,(E pred ?Obj ) prop value
16189,right-subgraph,2,E REF xF . xF RFG ?G
3075,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
3235,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value)
10529,,2,
17579,right-subgraph,2,E REF xF . xF RFG ?G
46,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
3616,statement_property,statement_property_2,(E pred F) prop ?value
8363,statement_property,statement_property_2,(E pred F) prop ?value
6531,statement_property,statement_property_1,(E pred ?Obj ) prop value
10419,,2,
3763,statement_property,statement_property_2,(E pred F) prop ?value
12230,right-subgraph,1,E REF ?F . ?F RFG G
28888,center,1.1,E REF ?F
5567,statement_property,statement_property_2,(E pred F) prop ?value
29791,simple question right,1,<S P ?O ; ?O instanceOf Type>
10962,,2,
4992,statement_property,statement_property_1,(E pred ?Obj ) prop value
17540,right-subgraph,2,E REF xF . xF RFG ?G
24082,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
3821,statement_property,statement_property_2,(E pred F) prop ?value
17975,right-subgraph,2,E REF xF . xF RFG ?G
13091,right-subgraph,1,E REF ?F . ?F RFG G
11926,right-subgraph,1,E REF ?F . ?F RFG G
14538,left-subgraph,5,C RCD xD . xD RDE ?E
13417,right-subgraph,1,E REF ?F . ?F RFG G
14948,left-subgraph,5,C RCD xD . xD RDE ?E
1350,statement_property,Count_1,Count Obj (ent-pred-obj)
24445,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
17040,left-subgraph,5,C RCD xD . xD RDE ?E
21792,simple question left,2,<?S P O ; ?S InstanceOf Type>
20987,simple question left,2,<?S P O ; ?S InstanceOf Type>
14190,right-subgraph,1,E REF ?F . ?F RFG G
3777,statement_property,statement_property_1,(E pred ?Obj ) prop value
17487,right-subgraph,2,E REF xF . xF RFG ?G
12594,right-subgraph,1,E REF ?F . ?F RFG G
532,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2`)
3939,statement_property,statement_property_2,(E pred F) prop ?value
15792,left-subgraph,5,C RCD xD . xD RDE ?E
13297,right-subgraph,1,E REF ?F . ?F RFG G
385,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
22800,simple question right,1,<S P ?O ; ?O instanceOf Type>
16308,right-subgraph,2,E REF xF . xF RFG ?G
9296,statement_property,statement_property_2,(E pred F) prop ?value
2878,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
9590,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
8557,statement_property,statement_property_1,(E pred ?Obj ) prop value
197,boolean one_hop right subgraph,1,Ask (ent-pred-obj`)
26685,center,1.1,E REF ?F
10715,,2,
10644,,2,
23418,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
23728,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
14533,right-subgraph,2,E REF xF . xF RFG ?G
3368,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value)
3359,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value)
20011,simple question right,1,<S P ?O ; ?O instanceOf Type>
27232,center,1.1,E REF ?F
24039,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
14372,right-subgraph,2,E REF xF . xF RFG ?G
29085,center,1.1,E REF ?F
6231,statement_property,statement_property_1,(E pred ?Obj ) prop value
27867,center,1.1,E REF ?F
17562,right-subgraph,2,E REF xF . xF RFG ?G
13989,right-subgraph,1,E REF ?F . ?F RFG G
6762,statement_property,statement_property_2,(E pred F) prop ?value
24116,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
4235,statement_property,statement_property_1,(E pred ?Obj ) prop value
6029,statement_property,statement_property_1,(E pred ?Obj ) prop value
23178,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
18334,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
16171,right-subgraph,2,E REF xF . xF RFG ?G
17491,left-subgraph,5,C RCD xD . xD RDE ?E
8649,statement_property,statement_property_1,(E pred ?Obj ) prop value
26793,center,1.1,E REF ?F
4457,statement_property,statement_property_1,(E pred ?Obj ) prop value
12399,right-subgraph,1,E REF ?F . ?F RFG G
21563,simple question right,1,<S P ?O ; ?O instanceOf Type>
28073,center,1.1,E REF ?F
9480,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
21159,simple question right,1,<S P ?O ; ?O instanceOf Type>
1301,statement_property,Count_1,Count Obj (ent-pred-obj)
25588,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
26499,center,1.2,?D RDE E
7570,statement_property,statement_property_2,(E pred F) prop ?value
14223,right-subgraph,1,E REF ?F . ?F RFG G
28362,center,1.1,E REF ?F
3173,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
17803,right-subgraph,2,E REF xF . xF RFG ?G
254,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
17400,left-subgraph,5,C RCD xD . xD RDE ?E
28896,center,1.1,E REF ?F
13150,right-subgraph,1,E REF ?F . ?F RFG G
21608,simple question left,2,<?S P O ; ?S InstanceOf Type>
14998,right-subgraph,2,E REF xF . xF RFG ?G
10865,,2,
13648,right-subgraph,1,E REF ?F . ?F RFG G
27343,center,1.1,E REF ?F
28032,center,1.1,E REF ?F
20027,simple question right,1,<S P ?O ; ?O instanceOf Type>
27975,center,1.1,E REF ?F
6933,statement_property,statement_property_1,(E pred ?Obj ) prop value
28194,center,1.1,E REF ?F
17808,left-subgraph,5,C RCD xD . xD RDE ?E
5479,statement_property,statement_property_1,(E pred ?Obj ) prop value
18000,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
5983,statement_property,statement_property_1,(E pred ?Obj ) prop value
29957,simple question left,2,<?S P O ; ?S InstanceOf Type>
4650,statement_property,statement_property_2,(E pred F) prop ?value
19838,simple question left,2,<?S P O ; ?S InstanceOf Type>
1636,statement_property,Count_1,Count Obj (ent-pred-obj)
13188,right-subgraph,1,E REF ?F . ?F RFG G
20502,simple question left,2,<?S P O ; ?S InstanceOf Type>
4599,statement_property,statement_property_2,(E pred F) prop ?value
7072,statement_property,statement_property_1,(E pred ?Obj ) prop value
20576,simple question right,1,<S P ?O ; ?O instanceOf Type>
2921,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
27784,center,1.1,E REF ?F
9987,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
8511,statement_property,statement_property_1,(E pred ?Obj ) prop value
29002,center,1.1,E REF ?F
21025,simple question left,2,<?S P O ; ?S InstanceOf Type>
25417,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
6124,statement_property,statement_property_1,(E pred ?Obj ) prop value
9400,statement_property,statement_property_1,(E pred ?Obj ) prop value
13397,right-subgraph,1,E REF ?F . ?F RFG G
26519,center,1.1,E REF ?F
4571,statement_property,statement_property_2,(E pred F) prop ?value
4455,statement_property,statement_property_1,(E pred ?Obj ) prop value
29443,center,1.1,E REF ?F
18566,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
3286,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value)
22566,simple question right,1,<S P ?O ; ?O instanceOf Type>
6162,statement_property,statement_property_2,(E pred F) prop ?value
3941,statement_property,statement_property_2,(E pred F) prop ?value
2454,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
15830,left-subgraph,5,C RCD xD . xD RDE ?E
4440,statement_property,statement_property_2,(E pred F) prop ?value
7652,statement_property,statement_property_2,(E pred F) prop ?value
14843,left-subgraph,5,C RCD xD . xD RDE ?E
1450,statement_property,Count_1,Count Obj (ent-pred-obj)
29698,center,1.1,E REF ?F
10261,,2,
25032,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
4918,statement_property,statement_property_1,(E pred ?Obj ) prop value
13683,right-subgraph,1,E REF ?F . ?F RFG G
5487,statement_property,statement_property_2,(E pred F) prop ?value
6720,statement_property,statement_property_2,(E pred F) prop ?value
30119,simple question left,2,<?S P O ; ?S InstanceOf Type>
23201,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
7419,statement_property,statement_property_1,(E pred ?Obj ) prop value
28960,center,1.1,E REF ?F
11715,,3,
11971,right-subgraph,1,E REF ?F . ?F RFG G
19271,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
223,boolean one_hop right subgraph,1,Ask (ent-pred-obj`)
15619,left-subgraph,5,C RCD xD . xD RDE ?E
9573,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
30004,simple question right,1,<S P ?O ; ?O instanceOf Type>
21260,simple question right,1,<S P ?O ; ?O instanceOf Type>
11038,,3,
26162,center,1.1,E REF ?F
17396,left-subgraph,5,C RCD xD . xD RDE ?E
15599,right-subgraph,2,E REF xF . xF RFG ?G
14037,right-subgraph,1,E REF ?F . ?F RFG G
11056,,3,
2492,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
11255,,3,
22672,simple question left,2,<?S P O ; ?S InstanceOf Type>
3680,statement_property,statement_property_1,(E pred ?Obj ) prop value
4919,statement_property,statement_property_2,(E pred F) prop ?value
6930,statement_property,statement_property_1,(E pred ?Obj ) prop value
5371,statement_property,statement_property_2,(E pred F) prop ?value
21900,simple question right,1,<S P ?O ; ?O instanceOf Type>
24979,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
9042,statement_property,statement_property_1,(E pred ?Obj ) prop value
22386,simple question right,1,<S P ?O ; ?O instanceOf Type>
22221,simple question right,1,<S P ?O ; ?O instanceOf Type>
27081,center,1.1,E REF ?F
5792,statement_property,statement_property_1,(E pred ?Obj ) prop value
15763,right-subgraph,2,E REF xF . xF RFG ?G
10633,,2,
12693,right-subgraph,1,E REF ?F . ?F RFG G
6282,statement_property,statement_property_1,(E pred ?Obj ) prop value
3628,statement_property,statement_property_1,(E pred ?Obj ) prop value
29961,simple question left,2,<?S P O ; ?S InstanceOf Type>
25339,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
22623,simple question left,2,<?S P O ; ?S InstanceOf Type>
21801,simple question right,1,<S P ?O ; ?O instanceOf Type>
18781,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
8378,statement_property,statement_property_2,(E pred F) prop ?value
23637,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
6412,statement_property,statement_property_2,(E pred F) prop ?value
26943,center,1.1,E REF ?F
21812,simple question left,2,<?S P O ; ?S InstanceOf Type>
9796,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
7691,statement_property,statement_property_1,(E pred ?Obj ) prop value
2477,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
20186,simple question left,2,<?S P O ; ?S InstanceOf Type>
23231,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
15083,left-subgraph,5,C RCD xD . xD RDE ?E
1216,statement_property,Count_1,Count Obj (ent-pred-obj)
28387,center,1.1,E REF ?F
6681,statement_property,statement_property_1,(E pred ?Obj ) prop value
27930,center,1.2,?D RDE E
6858,statement_property,statement_property_2,(E pred F) prop ?value
9150,statement_property,statement_property_2,(E pred F) prop ?value
29942,simple question left,2,<?S P O ; ?S InstanceOf Type>
10453,,2,
19032,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
25083,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
29983,simple question right,1,<S P ?O ; ?O instanceOf Type>
11328,,3,
1986,statement_property,Count_2,Count ent (ent-pred-obj)
28619,center,1.2,?D RDE E
6924,statement_property,statement_property_1,(E pred ?Obj ) prop value
2196,statement_property,Count_2,Count ent (ent-pred-obj)
26116,center,1.1,E REF ?F
4627,statement_property,statement_property_1,(E pred ?Obj ) prop value
23720,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
20012,simple question left,2,<?S P O ; ?S InstanceOf Type>
21150,simple question right,1,<S P ?O ; ?O instanceOf Type>
26242,center,1.2,?D RDE E
27872,center,1.2,?D RDE E
13545,right-subgraph,1,E REF ?F . ?F RFG G
1064,statement_property,Count_1,Count Obj (ent-pred-obj)
1854,statement_property,Count_2,Count ent (ent-pred-obj)
22028,simple question left,2,<?S P O ; ?S InstanceOf Type>
20549,simple question right,1,<S P ?O ; ?O instanceOf Type>
27859,center,1.2,?D RDE E
23483,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
4590,statement_property,statement_property_1,(E pred ?Obj ) prop value
7349,statement_property,statement_property_1,(E pred ?Obj ) prop value
9086,statement_property,statement_property_2,(E pred F) prop ?value
22941,simple question right,1,<S P ?O ; ?O instanceOf Type>
16842,left-subgraph,5,C RCD xD . xD RDE ?E
12059,right-subgraph,1,E REF ?F . ?F RFG G
21315,simple question right,1,<S P ?O ; ?O instanceOf Type>
18179,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
11290,,3,
24336,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
22363,simple question right,1,<S P ?O ; ?O instanceOf Type>
11784,right-subgraph,1,E REF ?F . ?F RFG G
17224,right-subgraph,2,E REF xF . xF RFG ?G
3145,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
10872,,2,
18241,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
29480,center,1.2,?D RDE E
22705,simple question left,2,<?S P O ; ?S InstanceOf Type>
2067,statement_property,Count_2,Count ent (ent-pred-obj)
25181,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
106,boolean one_hop right subgraph,1,Ask (ent-pred-obj`)
16152,left-subgraph,5,C RCD xD . xD RDE ?E
22198,simple question right,1,<S P ?O ; ?O instanceOf Type>
24211,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
22768,simple question left,2,<?S P O ; ?S InstanceOf Type>
22345,simple question left,2,<?S P O ; ?S InstanceOf Type>
27257,center,1.1,E REF ?F
16019,left-subgraph,5,C RCD xD . xD RDE ?E
29472,center,1.1,E REF ?F
25176,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
2037,statement_property,Count_2,Count ent (ent-pred-obj)
15480,left-subgraph,5,C RCD xD . xD RDE ?E
24971,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
29531,center,1.1,E REF ?F
776,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1` . ent-pred-obj2)
678,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2)
17496,right-subgraph,2,E REF xF . xF RFG ?G
5404,statement_property,statement_property_2,(E pred F) prop ?value
8423,statement_property,statement_property_1,(E pred ?Obj ) prop value
17520,right-subgraph,2,E REF xF . xF RFG ?G
27576,center,1.1,E REF ?F
28432,center,1.1,E REF ?F
29016,center,1.1,E REF ?F
19001,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
9563,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
18826,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
15529,left-subgraph,5,C RCD xD . xD RDE ?E
26466,center,1.1,E REF ?F
20048,simple question left,2,<?S P O ; ?S InstanceOf Type>
17677,left-subgraph,5,C RCD xD . xD RDE ?E
8007,statement_property,statement_property_2,(E pred F) prop ?value
4097,statement_property,statement_property_2,(E pred F) prop ?value
5658,statement_property,statement_property_1,(E pred ?Obj ) prop value
1625,statement_property,Count_1,Count Obj (ent-pred-obj)
15384,left-subgraph,5,C RCD xD . xD RDE ?E
17951,left-subgraph,5,C RCD xD . xD RDE ?E
27633,center,1.2,?D RDE E
27543,center,1.2,?D RDE E
25056,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
12685,right-subgraph,1,E REF ?F . ?F RFG G
29463,center,1.1,E REF ?F
24076,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
7631,statement_property,statement_property_1,(E pred ?Obj ) prop value
26537,center,1.1,E REF ?F
19916,simple question left,2,<?S P O ; ?S InstanceOf Type>
28994,center,1.1,E REF ?F
23020,simple question right,1,<S P ?O ; ?O instanceOf Type>
22591,simple question left,2,<?S P O ; ?S InstanceOf Type>
23321,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
29030,center,1.2,?D RDE E
12335,right-subgraph,1,E REF ?F . ?F RFG G
18958,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
24710,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
3043,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
25511,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
29106,center,1.2,?D RDE E
20461,simple question right,1,<S P ?O ; ?O instanceOf Type>
14618,right-subgraph,2,E REF xF . xF RFG ?G
17335,right-subgraph,2,E REF xF . xF RFG ?G
8863,statement_property,statement_property_1,(E pred ?Obj ) prop value
2476,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
7503,statement_property,statement_property_1,(E pred ?Obj ) prop value
12988,right-subgraph,1,E REF ?F . ?F RFG G
29602,center,1.1,E REF ?F
22298,simple question left,2,<?S P O ; ?S InstanceOf Type>
3413,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value)
5767,statement_property,statement_property_2,(E pred F) prop ?value
26679,center,1.1,E REF ?F
19088,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
3694,statement_property,statement_property_2,(E pred F) prop ?value
24314,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
9714,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
20974,simple question right,1,<S P ?O ; ?O instanceOf Type>
11903,right-subgraph,1,E REF ?F . ?F RFG G
12765,right-subgraph,1,E REF ?F . ?F RFG G
18744,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
27805,center,1.1,E REF ?F
2608,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
4532,statement_property,statement_property_2,(E pred F) prop ?value
9350,statement_property,statement_property_1,(E pred ?Obj ) prop value
10621,,2,
17437,right-subgraph,2,E REF xF . xF RFG ?G
469,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
15183,left-subgraph,5,C RCD xD . xD RDE ?E
7773,statement_property,statement_property_2,(E pred F) prop ?value
17847,left-subgraph,5,C RCD xD . xD RDE ?E
26442,center,1.1,E REF ?F
20444,simple question right,1,<S P ?O ; ?O instanceOf Type>
24415,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
10615,,2,
21957,simple question right,1,<S P ?O ; ?O instanceOf Type>
16854,right-subgraph,2,E REF xF . xF RFG ?G
16233,right-subgraph,2,E REF xF . xF RFG ?G
17665,left-subgraph,5,C RCD xD . xD RDE ?E
5883,statement_property,statement_property_1,(E pred ?Obj ) prop value
26411,center,1.1,E REF ?F
3129,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
815,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2)
18717,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
1179,statement_property,Count_1,Count Obj (ent-pred-obj)
11511,,3,
2609,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
24328,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
23893,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
25393,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
10124,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
22792,simple question right,1,<S P ?O ; ?O instanceOf Type>
21013,simple question right,1,<S P ?O ; ?O instanceOf Type>
25841,center,1.1,E REF ?F
4548,statement_property,statement_property_1,(E pred ?Obj ) prop value
15984,right-subgraph,2,E REF xF . xF RFG ?G
24407,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
20456,simple question right,1,<S P ?O ; ?O instanceOf Type>
3143,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
12354,right-subgraph,1,E REF ?F . ?F RFG G
7289,statement_property,statement_property_1,(E pred ?Obj ) prop value
8944,statement_property,statement_property_1,(E pred ?Obj ) prop value
6465,statement_property,statement_property_1,(E pred ?Obj ) prop value
11542,,3,
15957,right-subgraph,2,E REF xF . xF RFG ?G
10668,,2,
12975,right-subgraph,1,E REF ?F . ?F RFG G
7677,statement_property,statement_property_2,(E pred F) prop ?value
1289,statement_property,Count_1,Count Obj (ent-pred-obj)
2386,statement_property,Count_2,Count ent (ent-pred-obj)
